,date,cases,deaths,hospitalizations
810,2021-12-02,1060,8,65.0
811,2022-04-21,684,0,23.0
812,2021-08-01,215,3,18.0
813,2022-03-26,198,1,7.0
814,2020-05-16,514,28,102.0
815,2020-07-20,394,5,25.0
816,2020-07-31,392,2,24.0
817,2020-06-04,319,15,31.0
818,2020-08-07,417,2,25.0
819,2021-05-30,52,7,11.0
820,2022-06-28,998,0,25.0
821,2021-08-06,466,5,27.0
822,2020-10-24,883,5,62.0
823,2021-06-14,67,3,9.0
824,2022-05-15,739,1,25.0
825,2020-12-26,955,19,81.0
826,2021-08-18,556,3,27.0
827,2022-02-14,381,15,17.0
828,2022-06-22,951,0,24.0
829,2022-01-23,674,26,63.0
830,2020-09-17,391,0,25.0
831,2020-03-26,413,2,132.0
832,2021-09-30,463,7,28.0
833,2022-02-25,186,5,15.0
834,2022-02-04,585,11,37.0
835,2020-05-23,328,30,91.0
836,2022-03-28,354,0,7.0
837,2021-07-28,348,3,28.0
838,2020-06-05,337,17,42.0
839,2022-02-16,370,3,18.0
840,2020-10-20,1196,5,56.0
841,2022-05-16,1489,0,30.0
842,2022-01-20,2001,37,112.0
843,2020-05-24,279,27,92.0
844,2020-09-28,419,2,28.0
845,2021-10-19,321,2,21.0
846,2022-05-06,1066,2,24.0
847,2021-09-06,279,4,26.0
848,2022-05-03,1299,1,23.0
849,2021-11-02,490,4,27.0
850,2022-06-06,1127,0,31.0
851,2020-10-12,681,4,37.0
852,2020-06-24,245,9,25.0
853,2022-07-14,878,0,9.0
854,2021-03-23,566,5,42.0
855,2022-02-12,226,6,27.0
856,2020-05-12,941,46,124.0
857,2020-11-16,2557,26,153.0
858,2020-11-09,3227,14,144.0
859,2020-12-05,1203,13,84.0
860,2021-11-09,649,5,29.0
861,2021-04-29,531,7,48.0
862,2022-04-18,772,1,13.0
863,2021-09-29,413,3,26.0
864,2021-05-08,271,8,44.0
865,2022-01-06,5767,38,259.0
866,2021-12-21,6940,9,197.0
867,2021-07-30,354,2,17.0
868,2020-10-05,553,3,21.0
869,2020-07-05,89,3,16.0
870,2021-08-24,568,3,37.0
871,2021-08-05,479,2,30.0
872,2021-11-01,436,3,34.0
