,date,rides,docked_bike,electric_bike,classic_bike,evening,mid_day,morning,night,member,casual,mean_km_between_stations,mean_minutes,mean_ride_distance,tavg,tmin,tmax,prcp,snow,wspd,cases,deaths,hospitalizations
25,2020-04-26,6200.0,6200.0,,,1372.0,4196.0,552.0,80.0,3884.0,2316.0,2.23249656417985,34.71395430107527,2.23249656417985,10.7,6.1,16.7,0.0,0.0,18.0,434,51,129.0
26,2020-04-27,2595.0,2595.0,,,545.0,1310.0,684.0,56.0,1959.0,636.0,2.0960812270353437,22.127360308285162,2.0960812270353437,12.6,3.9,20.0,8.1,0.0,15.0,1157,35,169.0
27,2020-04-28,3392.0,3392.0,,,337.0,2205.0,811.0,39.0,2429.0,963.0,1.9934195750587345,34.69295400943396,1.9934195750587345,17.4,11.7,24.4,8.9,0.0,15.4,1321,56,174.0
28,2020-04-29,645.0,645.0,,,246.0,231.0,148.0,20.0,510.0,135.0,1.9624058857497388,34.22485788113695,1.9624058857497388,11.8,5.6,16.7,58.7,0.0,19.3,1151,44,158.0
29,2020-04-30,2567.0,2567.0,,,1261.0,924.0,325.0,57.0,1958.0,609.0,1.979504475249487,25.437949616932865,1.979504475249487,8.0,5.6,12.2,3.0,0.0,23.0,1274,40,168.0
30,2020-05-01,4751.0,4751.0,,,1521.0,2368.0,769.0,93.0,3308.0,1443.0,2.2009021710183516,35.02790991370238,2.2009021710183516,12.0,2.8,19.4,0.0,0.0,7.0,1173,39,140.0
31,2020-05-02,11811.0,11811.0,,,2733.0,7736.0,1118.0,224.0,6137.0,5674.0,2.375884398569976,40.95034431179973,2.375884398569976,19.6,14.4,26.1,0.0,0.0,19.4,719,49,166.0
32,2020-05-03,9414.0,9414.0,,,2509.0,5621.0,1102.0,182.0,5153.0,4261.0,2.1588152349550715,39.81312407053325,2.1588152349550715,18.2,8.9,22.8,0.0,0.0,16.2,464,45,137.0
33,2020-05-04,2634.0,2634.0,,,867.0,1158.0,563.0,46.0,1947.0,687.0,2.0359671814466713,23.573316881802075,2.0359671814466713,6.9,5.0,8.9,0.0,0.0,23.8,1121,48,127.0
34,2020-05-05,1953.0,1953.0,,,917.0,621.0,362.0,53.0,1495.0,458.0,2.0321171336019535,22.895485577743642,2.0321171336019535,7.3,5.6,8.9,6.6,0.0,15.0,1090,58,156.0
35,2020-05-06,4775.0,4775.0,,,1911.0,2055.0,736.0,73.0,3218.0,1557.0,2.120101899657413,26.69326352530541,2.120101899657413,10.5,3.3,16.1,0.0,0.0,12.1,968,44,133.0
36,2020-05-07,4997.0,4997.0,,,1657.0,2345.0,887.0,108.0,3253.0,1744.0,2.1367069416867444,33.88983390034021,2.1367069416867444,12.3,7.8,18.9,0.0,0.0,17.8,938,49,140.0
37,2020-05-08,2793.0,2793.0,,,1094.0,1070.0,559.0,70.0,2051.0,742.0,2.1308040443575407,19.450537056928034,2.1308040443575407,5.2,1.1,7.8,0.0,0.0,23.7,921,43,98.0
38,2020-05-09,7945.0,7945.0,,,2189.0,4946.0,676.0,134.0,4435.0,3510.0,2.3198590779278634,35.14491923641704,2.3198590779278634,7.8,-0.6,15.0,0.0,0.0,15.1,520,53,96.0
39,2020-05-10,1394.0,1394.0,,,261.0,624.0,375.0,134.0,967.0,427.0,1.939744261982013,22.249856527977045,1.939744261982013,7.8,2.8,11.7,10.7,0.0,17.6,306,38,99.0
40,2020-05-11,2871.0,2871.0,,,1069.0,1158.0,582.0,62.0,2025.0,846.0,2.1653847942538684,24.94003831417625,2.1653847942538684,6.8,4.4,10.0,0.0,0.0,12.1,1018,38,128.0
41,2020-05-12,4745.0,4745.0,,,1704.0,2106.0,867.0,68.0,3218.0,1527.0,2.0708865561357674,24.549585528626626,2.0708865561357674,9.9,3.9,16.7,0.0,0.0,14.7,941,46,124.0
42,2020-05-13,5762.0,5762.0,,,2238.0,2527.0,913.0,84.0,3660.0,2102.0,2.171342636933797,30.810713872497978,2.171342636933797,13.8,7.2,20.6,0.3,0.0,18.9,877,45,124.0
43,2020-05-14,3036.0,3036.0,,,1896.0,866.0,199.0,75.0,1987.0,1049.0,1.882841444907106,27.710073561704,1.882841444907106,16.7,12.8,22.8,59.9,0.0,13.9,778,45,131.0
44,2020-05-15,7031.0,7031.0,,,3497.0,2835.0,562.0,137.0,4146.0,2885.0,2.115992444870663,36.81649599393163,2.115992444870663,19.1,13.9,25.0,8.9,0.0,12.9,968,49,110.0
45,2020-05-16,8975.0,8975.0,,,2100.0,5578.0,1076.0,221.0,5051.0,3924.0,2.3549074059452044,34.84833426183844,2.3549074059452044,14.6,11.1,20.6,10.2,0.0,16.2,514,28,102.0
46,2020-05-17,691.0,691.0,,,236.0,275.0,119.0,61.0,452.0,239.0,1.798399925433787,23.21058851905451,1.798399925433787,16.2,12.2,20.0,100.3,0.0,14.2,326,41,97.0
47,2020-05-18,3885.0,3885.0,,,1317.0,1724.0,779.0,65.0,2675.0,1210.0,2.1344825717222435,25.475452595452595,2.1344825717222435,15.3,11.1,18.9,0.0,0.0,12.7,944,33,113.0
48,2020-05-19,2852.0,2852.0,,,1045.0,1218.0,504.0,85.0,2100.0,752.0,2.073046768937169,28.9961079943899,2.073046768937169,13.2,11.1,16.1,5.6,0.0,20.4,888,27,98.0
49,2020-05-20,6348.0,6348.0,,,2662.0,2551.0,1032.0,103.0,4166.0,2182.0,2.13963188890537,31.076693446754884,2.13963188890537,14.9,12.8,18.3,0.0,0.0,20.4,771,29,94.0
50,2020-05-21,5602.0,5602.0,,,2065.0,2469.0,953.0,115.0,3654.0,1948.0,2.171872302035123,27.87421159109842,2.171872302035123,16.0,13.3,20.0,0.0,0.0,10.7,798,34,108.0
51,2020-05-22,7569.0,7569.0,,,3247.0,3203.0,950.0,169.0,4563.0,3006.0,2.1829551220313896,29.526031620205224,2.1829551220313896,16.6,13.9,21.1,0.0,0.0,8.3,724,36,92.0
52,2020-05-23,8784.0,8784.0,,,1689.0,5416.0,1421.0,258.0,4695.0,4089.0,2.1552445765397237,32.805870522161506,2.1552445765397237,19.7,12.8,27.2,13.2,0.0,13.0,328,30,91.0
53,2020-05-24,14836.0,14836.0,,,4424.0,8448.0,1516.0,448.0,6731.0,8105.0,2.2618969745777977,40.38643165273658,2.2618969745777977,24.7,17.8,31.7,0.0,0.0,10.3,279,27,92.0
54,2020-05-25,14268.0,14268.0,,,4332.0,7890.0,1551.0,495.0,6468.0,7800.0,2.169329896959132,41.41948883281937,2.169329896959132,25.4,21.1,31.1,0.0,0.0,13.6,252,23,78.0
55,2020-05-26,7711.0,7711.0,,,3632.0,2357.0,1335.0,387.0,4273.0,3438.0,1.9810395430883556,34.62137206587992,1.9810395430883556,26.5,21.1,31.7,0.0,0.0,13.9,750,23,76.0
56,2020-05-27,8121.0,8121.0,,,3108.0,3227.0,1539.0,247.0,4761.0,3360.0,2.03091659311521,30.925920453146162,2.03091659311521,25.5,22.2,30.6,4.6,0.0,10.4,614,26,65.0
57,2020-05-28,6785.0,6785.0,,,2846.0,2402.0,1305.0,232.0,4122.0,2663.0,1.9947459550815363,28.043510194055514,1.9947459550815363,23.1,18.3,28.3,4.3,0.0,15.2,522,22,70.0
58,2020-05-29,10580.0,10580.0,,,4785.0,4016.0,1446.0,333.0,5891.0,4689.0,2.1757282857861124,31.00012129804663,2.1757282857861124,19.5,14.4,24.4,0.8,0.0,17.3,459,20,50.0
59,2020-05-30,17162.0,17162.0,,,6252.0,8543.0,1761.0,606.0,6748.0,10414.0,2.585380795739294,33.71175465174999,2.585380795739294,16.8,12.8,22.2,0.0,0.0,13.2,237,21,55.0
60,2020-05-31,193.0,193.0,,,,,,193.0,15.0,178.0,2.1429906414100217,25.811658031088086,2.1429906414100217,14.8,11.1,18.9,0.0,0.0,14.8,121,22,39.0
61,2020-06-01,,,,,,,,,,,,,,18.7,12.8,25.0,0.0,0.0,16.8,233,21,63.0
62,2020-06-02,,,,,,,,,,,,,,26.8,19.4,34.4,0.0,0.0,24.2,247,25,50.0
63,2020-06-03,6296.0,6296.0,,,2953.0,2495.0,848.0,,3877.0,2419.0,2.085069709951694,35.75318456162643,2.085069709951694,24.6,21.1,29.4,0.3,0.0,13.5,280,21,50.0
64,2020-06-04,7628.0,7628.0,,,3257.0,2838.0,1533.0,,4653.0,2975.0,2.2999014983948274,43.7349261492746,2.2999014983948274,25.5,20.0,30.0,0.0,0.0,11.7,319,15,31.0
65,2020-06-05,8922.0,8922.0,,,3354.0,3986.0,1582.0,,5260.0,3662.0,2.276106255450797,34.499036090562655,2.276106255450797,26.8,22.2,31.7,0.0,0.0,12.1,337,17,42.0
66,2020-06-06,15239.0,15239.0,,,3681.0,9031.0,2527.0,,7286.0,7953.0,2.6025321776614057,38.84278386595796,2.6025321776614057,21.6,16.1,24.4,0.0,0.0,16.2,170,20,38.0
67,2020-06-07,13224.0,13224.0,,,4038.0,7647.0,1469.0,70.0,6725.0,6499.0,2.363295858569236,41.61506352087114,2.363295858569236,20.3,15.0,26.1,0.0,0.0,13.3,110,20,31.0
68,2020-06-08,10368.0,10368.0,,,4673.0,3797.0,1713.0,185.0,6070.0,4298.0,2.2013773596351216,36.56276041666667,2.2013773596351216,25.8,18.3,32.8,0.0,0.0,14.5,273,15,43.0
69,2020-06-09,5608.0,5608.0,,,817.0,2693.0,1909.0,189.0,3701.0,1907.0,2.1175269159938694,26.049343200190204,2.1175269159938694,26.7,23.3,32.8,10.2,0.0,24.4,254,23,38.0
70,2020-06-10,7676.0,7676.0,,,2868.0,3188.0,1475.0,145.0,4844.0,2832.0,2.1446566873248747,26.243501389612646,2.1446566873248747,23.4,16.7,28.9,2.3,0.0,26.4,233,12,29.0
